k,depth,random_state,accuracy_train,accuracy_test,discrimination_train,discrimination_train_pred,discrimination_test,min_supp,clf.tree_,discrimination_relab_1,accuracy_relab_1,discrimination_relab_2,accuracy_relab_2,discrimination_relab_3,accuracy_relab_3,discrimination_relab_0.0,accuracy_relab_0.0,discrimination_relab_0.1,accuracy_relab_0.1,discrimination_relab_0.2,accuracy_relab_0.2,discrimination_relab_0.3,accuracy_relab_0.3
0,1,41,0.75119617,0.75,0.26681741,0.15564348,0.27272727,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.6028,-0.15564349,0.2488,-0.15564349,0.2488,0.0,0.6028,0.0,0.6028,0.15564348,0.7511,0.15564348,0.7511
0,1,45,0.76076555,0.71153846,0.37968119,0.20674092,0.03571428,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.5741,-0.20674093,0.2392,-0.20674093,0.2392,0.0,0.5741,0.0,0.5741,0.0,0.5741,0.20674092,0.7607
0,1,47,0.73684211,0.61538461,0.31780952,0.09238095,0.03030303,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.5837,-0.09238096,0.2631,-0.09238096,0.2631,0.0,0.5837,0.09238095,0.7368,0.09238095,0.7368,0.09238095,0.7368
0,1,49,0.76555024,0.69230769,0.27011494,0.18353118,0.15948963,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.6124,-0.18353119,0.2344,-0.18353119,0.2344,0.0,0.6124,0.0,0.6124,0.18353118,0.7655,0.18353118,0.7655
0,1,51,0.74641148,0.76923076,0.32128099,0.17768595,0.17973856,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.598,-0.17768596,0.2535,-0.17768596,0.2535,0.0,0.598,0.0,0.598,0.17768595,0.7464,0.17768595,0.7464
0,1,53,0.73684211,0.8076923,0.35529095,0.18311887,0.14285714,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.5645,-0.18311888,0.2631,-0.18311888,0.2631,0.0,0.5645,0.0,0.5645,0.18311887,0.7368,0.18311887,0.7368
0,1,55,0.77033493,0.67307692,0.28724421,0.16609294,0.2323838,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.622,-0.16609295,0.2296,-0.16609295,0.2296,0.0,0.622,0.0,0.622,0.16609294,0.7703,0.16609294,0.7703
0,1,57,0.75119617,0.75,0.33486326,0.20195065,0.08545727,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.5933,-0.20195066,0.2488,-0.20195066,0.2488,0.0,0.5933,0.0,0.5933,0.0,0.5933,0.20195065,0.7511
0,1,59,0.76076555,0.71153846,0.30804685,0.17524486,0.17857142,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.5933,-0.17524487,0.2392,-0.17524487,0.2392,0.0,0.5933,0.0,0.5933,0.17524486,0.7607,0.17524486,0.7607
0,1,61,0.75119617,0.75,0.34228377,0.1917279,0.1291866,2,<sklearn.tree._tree.Tree object at 0x7ff32333bf10>,0.0,0.5933,-0.19172791,0.2488,-0.19172791,0.2488,0.0,0.5933,0.0,0.5933,0.1917279,0.7511,0.1917279,0.7511
